ctx,key,en,nl,fr,de
arc,search_player_tab,Search Player,Speler zoeken,Rechercher un joueur,Spieler suchen
arc,selected_club,Selected Club,Geselecteerde club,Club sélectionné,Ausgewählter Verein
arc,title,ELO Archive & Game History,ELO-archief & Partijhistoriek,Archives ELO & Historique des parties,ELO-Archiv & Partiehistorie
arc,total_games,Total Games,Aantal partijen,Nombre de parties,Anzahl der Partien
arc,tournament,Tournament,Toernooi,Tournoi,Turnier
arc,unknown_opponent,Unknown opponent,Onbekende tegenstander,Adversaire inconnu,Unbekannter Gegner
arc,unknown_opponent_hint,"The opponent's name wasn't kept in the source data. This is usually a foreign or FIDE-rated tournament, where only the opponent's rating was recorded, not their name. These games still counted toward the ELO.","De naam van de tegenstander werd niet in de brongegevens bewaard. Dit is meestal een buitenlands of FIDE-toernooi, waarbij alleen de rating van de tegenstander werd bewaard, niet zijn naam. Deze partijen telden wel degelijk mee voor de ELO.","Le nom de l'adversaire n'a pas été conservé dans les données sources. Il s'agit généralement d'un tournoi étranger ou homologué FIDE, où seul le classement de l'adversaire a été enregistré, pas son nom. Ces parties comptaient bel et bien pour le classement ELO.","Der Name des Gegners wurde in den Quelldaten nicht gespeichert. Meist handelt es sich um ein ausländisches oder FIDE-gewertetes Turnier, bei dem nur die Wertungszahl des Gegners erfasst wurde, nicht sein Name. Diese Partien zählten dennoch für die ELO-Wertung."
arc,white,White,Wit,Blanc,Weiß
icn,1group,1 group,1 groep,1 groupe,1 Gruppe
icn,1series,In 1 series,In 1 reeks,En une seule série,In 1 Einzelserie
icn,2groups,2 opposite groups,2 tegengestelde groepen,2 groupes opposés,2 entgegengesetzte Gruppen
icn,board,board,bord,échiquier,Brett
icn,dist,Distribution,Verdeling,Distribution,Verteilung
icn,div,Division,Divisie,Division,Division
icn,enr,Enrollment,Inschrijving,Inscription,Anmeldung
icn,enr_closed,The management of the enrollement is currently unavailable,Het beheer van de inschrijving is momenteel niet beschikbaar,La gestion de l'enregistrement est actuellement indisponible,Die Registrierungsverwaltung ist derzeit nicht verfügbar
icn,exist_enr,Existing enrollment,Bestaande inschrijving,Inscription existante,Bestehende Anmeldung
icn,get_enr_failed,Getting existing enrollment failed,Het ophalen van de bestaande inschrijving is mislukt,Échec de l'obtention de l'inscription existante,Das Abrufen der vorhandenen Registrierung ist fehlgeschlagen
icn,grouping,Grouping,Groepering,Regroupement,Gruppierung
icn,mult_series,In multiple series,In meerdere reeksen,En plusieurs séries,In mehrere Serien
icn,name_club,Name of the club as shown in results and pairings,Naam van de club zoals weergegeven in uitslagen en standen,Nom du club tel qu'indiqué dans les résultats et le classement,"Name des Vereins, wie in den Ergebnissen und der Rangliste angezeigt"
icn,nopref,No preference,Geen voorkeur,Pas de préférence,keine Präferenz
icn,not_enrolled,The club is not enrolled yet,De club is nog niet ingeschreven,Le cercle n'est pas encore inscrit,Der Verein ist noch nicht registriert
icn,other_wishes,Other wishes,Andere wensen,Autres souhaits,Andere Wünsche
icn,perm_denied,Permission denied,Geen toestemming,Permission refusée,Erlaubnis verweigert
icn,plan_avgelohigh,Average Elo too high,Gemiddelde Elo te hoog,ELO moyen trop élevé,Durchschnittliche ELO zu hoch
icn,plan_invalidplayerorder,Invalid team order,Ongeldige ploegvolgorde,Ordre d'équipe invalide,Ungültige Reihenfolge der Mannschaft
icn,plan_ratingtoohigh,FIDE-rating too high,FIDE-rating te hoog,FIDE-rating trop élevé,FIDE-Rating zu hoch
icn,plan_reservewrongteam,Substitute in wrong team,Reserve in het verkeerde team,Réserve dans la mauvaise équipe,Reserve im falschen Team
icn,plan_titularwrongteam,Titular in wrong team,Titularis in het verkeerde team,Titulaire dans la mauvaise équipe,Titularspieler im falschen Team
icn,plan_valerror,Validation error in planning,Validatiefout bij planning,Erreur de validation dans la planification,Validierungsfehler bei der Planung
icn,planning_closed,The management of the planning is currently unavailable,Het beheer van de planning is momenteel niet beschikbaar,La gestion du planning est actuellement indisponible,Die Verwaltung der Planung ist derzeit nicht verfügbar
icn,pll_add,Add to playerlist,Aan spelerlijst toevoegen,Ajouter à la liste de force,Zur Spielerliste hinzufügen
icn,pll_assign,Assign player to playerlist,Speler toewijzen aan spelerslijst,Ajouter un joueur à la liste de force,Spieler zur Spielerliste hinzufügen
icn,pll_assigned_elo,Currently assigned Elo,Huidige toegewezen Elo,Elo actuellement attribué,Derzeit zugewiesenes Elo
icn,pll_closed,The management of the player list is currently unavailable,Het beheer van de spelerlijst is momenteel niet beschikbaar,La gestion de la liste de force est actuellement indisponible,Die Verwaltung der Spielerliste ist derzeit nicht verfügbar
icn,pll_double_elo,Elo assigned to more than 1 player,Elo toegewezen aan meer dan 1 speler,Elo attribué à plus d'un joueur,Elo wird mehr als einem Spieler zugewiesen
icn,pll_edit_elo,Edit assigned Elo,Toegewezen Elo aanpassen,Ajuster l'Elo attribué,Anpassen den zugewiesenen Elo
icn,pll_edit_titular,Edit titular,Titularis bewerken,Modifier le titulaire,Anpassen den Titular
icn,pll_import,Import,Importeren,Importer,Importieren
icn,pll_import_assign,Import and assign,Importeren en toewijzen,Importer et affectuer,Importieren und zuweisen
icn,pll_import_available,There are members of your club that are not yet on this playerlist. You can import these members and assign them as a player for Interclubs or you can import them and leave them unassigned. You can always assign or unassign members until the closing of the playerlist.,"Er zijn leden van je club die nog niet op de spelerslijst staan. Je kunt deze leden importeren en toewijzen als speler voor Interclubs, of je kunt ze importeren en niet-toegewezen laten. Je kunt altijd leden toewijzen of verwijderen tot de spelerslijst wordt afgesloten.","Certains membres de votre club ne figurent pas encore sur la liste de force. Vous pouvez les importer et les affecter aux Interclubs, ou les importer sans les affecter. Vous pouvez toujours affecter ou désaffecter des membres jusqu'à la fermeture de la liste de force.","Es gibt Mitglieder Ihres Clubs, die noch nicht auf dieser Spielerliste stehen. Sie können diese Mitglieder importieren und ihnen einen Platz als Spieler für Interclubs zuweisen oder sie importieren und ohne Zuweisung lassen. Sie können Mitgliedern bis zum Schließen der Spielerliste jederzeit einen Platz zuweisen oder diesen wieder entziehen."
icn,pll_import_only,Import only,Enkel importeren,Importer uniquement,Nur importieren
icn,pll_mindiv,Min. div.,Min. Afd.,Div. min.,Min. Abt.
icn,pll_notit,No titular,Geen titularis,Pas de titulaire,kein Titular
icn,pll_notregistered,"This club is not registered for Interclubs 2025-26, so your playerlist can only  contain transfers to another club, that is registered. You can transfer all the members at once to one club. Or you can just import the members and transfer them individually in a 2nd stage. Until the closing of the playerlist, you can do and undo any transfers.","Deze club is niet geregistreerd voor de Interclubs 2025-26, dus de spelerslijst kan alleen transfers bevatten naar een andere club die wel geregistreerd is. Je kunt alle leden in één keer naar één club transfereren. Of je kunt de leden importeren en ze in een tweede fase een voor een overzetten. Tot de spelerslijst afgesloten wordt, kun je transfers uitvoeren en ongedaan maken.",Ce club n'est pas inscrit aux Interclubs 2025-26 ; la liste de force ne peut donc contenir que des transferts vers un autre club inscrit. Vous pouvez transférer tous les membres simultanément vers un seul club. Vous pouvez également importer les membres et les transférer individuellement lors d'une deuxième étape. Vous pouvez effectuer et annuler tous les transferts jusqu'à la clôture de la liste de force.,"Dieser Verein ist nicht für die Interclubs 2025-26 registriert, daher kann die Spielerliste nur Transfers zu einem anderen Verein enthalten, der registriert ist. Sie können alle Mitglieder auf einmal zu einem Verein transferieren. Oder Sie können die Mitglieder importieren und sie in einem zweiten Schritt einzeln übertragen. Bis zum Abschluss der Spielerliste können Sie Transfers durchführen und rückgängig machen."
icn,pll_tit,Titular,Titularis,Titulaire,Titularspieler
icn,pll_transfer,Transfer,Transfereren,Transférer,Transferieren
icn,pll_transfer_pl,Transfer a player to another club,Een speler naar een andere club transfereren,Transférer un joueur vers un autre club,Einen Spieler zu einem anderen Verein transferieren
icn,pll_transferall,Transfer all members,Alle leden transfereren,Transférer tous les membres,Alle Mitglieder transferieren
icn,pll_unassign,Unassign,Toewijzing opheffen,Annuler l'affectation,Zuweisung aufheben
icn,pll_unassigning,Unassigning a player from the playerlist,De toewijzing van een speler opheffen,Annuler l'affectation d'un joueur de la liste de force,Einen Spieler aus der Spielerliste entfernen
icn,pll_undo_transfer,Undo transfer,Transfer opheffen,Annuler le transfer,Übertragung rückgängig machen
icn,reg_pref,Regional preferences,Regionale voorkeuren,Préférences régionales,Regionale Präferenzen
icn,res_overwrite,Overwrite,Overschrijven,Remplacer,überschreiben
icn,res_overwritebutton,Overwrite result,Resultaat overschrijven,Remplacer le résultat,Ergebnis überschreiben
icn,res_overwriteconfirm,Do you confirm to ovewrite the result?,Bevestig je dat je het resultaat wil overschrijven?,Confirmez-vous que vous souhaitez remplacer le résultat ?,"Bestätigen Sie, dass Sie das Ergebnis überschreiben möchten?"
icn,res_overwriteinfo,"The opponent and the tournament director will be informed, if you overwrite the result.","De tegenstander en de toernooileider worden verwittigd, als je het resultaat overschrijft.",L'adversaire et le directeur du tournoi seront informés si vous remplacez le résultat.,"Der Gegner und der Turnierleiter werden informiert, wenn Sie das Ergebnis überschreiben."
icn,res_overwritetitle,Overwrite result:,Resultaat overschrijven:,Remplacer le résultat:,Ergebnis überschreiben:
icn,results_closed,The management of the results is currently unavailable,Het beheer van de resultaten is momenteel niet beschikbaar,La gestion des résultats est actuellement indisponible,Die Ergebnisverwaltung  ist derzeit nicht verfügbar
icn,rounds,Rounds,Ronden,Ronden,Runden
icn,save_enr_fail,Saving enrollment failed,Opslaan inschrijving mislukt,Enregistrément échoué,Speichern Registrierung fehlgeschlagen
icn,save_enr_ok,Saving enrollment OK,Opslaan inschrijving OK,Inscription bien enregistré,Speichern Registrierung OK
icn,select_club,Please select a club,Selecteer een club,Veuillez sélectionner un club,Bitte wählen Sie einen Verein aus
icn,team_name,"You can define a name for your club when the results and standings are displayed. As a default, your clubname is used.",U kunt een naam voor uw club definiëren wanneer de resultaten en standen worden weergegeven.  Standaard wordt je clubnaam gebruikt.,"Vous pouvez définir un nom pour votre club lors de l'affichage des résultats et du classement. Par défaut, le nom de cercle est utilisé.","Sie können einen Namen für Ihren Verein festlegen, wenn die Ergebnisse und Tabellen angezeigt werden. Standardmäßig wird Ihr Vereinsname verwendet."
icn,teams,Teams,Teams,Equipes,Mannschaften
icn,teams_distr,Distribution of teams in same division,Verdeling van teams in dezelfde afdeling,Répartition des équipes dans la même division,Verteilung der Teams in derselben Division
icn,teams_div,Teams in division,Teams in divisie,Equipes en division,Mannschaften in der Division
icn,teams_grouped,Teams grouped by pairing number,Teams gegroepeerd per paringsnummer,Equipes regroupées par numéro d'appariement,Teams gruppiert nach Paarung-Nummer
icn,teams_nb_div,Number of teams per division,Aantal teams per divisie,Nombre d'équipes par division,Anzahl der Teams pro Division
icn,ven_1,Venue,Speellokaal,La salle de jeu,Spielort
icn,ven_2,Venues,Speellokalen,Les salles de jeu,Spielorte
icn,ven_add,Add a venue,Speellokaal toevoegen,Ajouter une salle de jeu,Spielort hinzufügen
icn,ven_closed,The management of the planning is currently unavailable,Het beheer van de speelzalen is momenteel niet beschikbaar,La gestion de la liste des salles de jeu est actuellement indisponible,Die Verwaltung der Spielräume ist derzeit nicht verfügbar
icn,ven_notdefined,No interclub venue is defined yet,Er is nog geen interclublokaal gedefinieerd,Aucune salle de jeux n'est encore définie,Es ist noch kein Interclub-Spielort definiert
icn,ven_parking,Parking,Parking,Parking,Parken
icn,ven_round_avail,Available for the ounds,Beschikbaar op ronden,Disponibles aux rondes,Verfügbar in den Runden
icn,ven_round_sel,Only the rounds,Enkel de ronden,Seulememt les rondes,Nur die Runden
icn,ven_save,Save Venues,Speellokalen opslaan,Enregistrer les salles de jeux,Spielorte speichern
icn,ven_save_fail,Saving venues failed,Opslaan speellokalen mislukt,Sauvegarder les salles de jeu échoué,Speichern Spielorte fehlgeschlagen
icn,ven_save_ok,Saving venues OK,Opslaan speellokalen OK,Les salles de jeu sont bien enregistrées,Speichern Spielorte OK
icn,ven_team_sel,Only teams,Enkel teams,Seulememt les équipes,Nur die Mannschaften
icn,ven_teams_avail,Teams using the venue ,Teams die het lokaal gebruiken,Equipes qui utilisent la salle,"Mannschaften, die den Spielorte nutzen"
icn,ven_wheelchair,Wheelchair accessible,Toegankelijk voor rolstoel,Accessible aux fauteuils roulants,Barrierefrei
icn,wishes,Wishes,Wensen,Vœux,Wünsche
odoo,login,You sign in with your account of the new member management system (Odoo) ,Je meldt je aan met je account van het nieuwe ledenbeheersysteem (Odoo).,Vous vous connectez avec votre compte du nouveau système de gestion des membres (Odoo).,Sie melden sich mit Ihrem Konto des neuen Mitgliederverwaltungssystems (Odoo) an.
odoo,lostpassword,Password lost?,Wachtwoord kwijt?,Mot de passe oublié ?,Passwort vergessen?
odoo,noaccount,No Odoo account yet?,Nog geen Odoo account?,Pas encore de compte Odoo?,Noch kein Odoo-Konto?
,Access Rights,Access Rights,Toegangsrechten,Droits d'accès,Zugangsrechte
,Actions,Actions,Acties,Actions,Aktionen
,Active players of club,Active players of club,Actieve clubspelers,Joueurs actifs du club,Aktive Spieler des Vereins
,Add a transfer from a club,Add a transfer from a club,Een transfer vanaf een club toevoegen,Ajouter un transfert depuis un club,Fügen Sie einen Transfer hinzu
,Add to playerlist,Add to playerlist,Toevegen aan spelerslijst,Ajouter à la liste de force,Zur Spielerliste hinzufügen
,Add transfer to a club,Add transfer to a club,Trnasfer naar een club toevoegen,Ajouter un transfert à un club,Transfer zu einem Verein hinzufügen
,Address,Address,Adres,Adresse,Adresse
,Administration,Administration,Beheer,Administration,Administration
,Affiliations,Affiliations,Aanslutingen,Affiliations,Zugehörigkeiten
,Affiliations manager,Affiliations manager,Verantwoordelijke aansluitingen,Responsable des affiliations,Verantwortliche Zugehörigkeiten
,All rounds,All rounds,Alle ronden,Toutes les rondes,Alle Runden
,All teams,All teams,Alle teams,Toutes les équipes,Alle Mannschaften
,Announcements,Announcements,Meldingen,Annonces,Ankündigungen
,"As such, for this interclub season, it can transfer it members to other clubs.","As such, for this interclub season, it can transfer it members to other clubs.",Als zodanig kan het voor dit interclubseizoen zijn leden overdragen aan andere clubs.,"A ce titre, pour cette saison interclubs, il peut transférer ses membres vers d'autres clubs.",Als solcher kann er für diese Interclub-Saison seine Mitglieder zu anderen Clubs transferieren.
,Assigned Rating,Assigned Elo,Toegewezen Elo,Elo attribué,Zugewiesenes Elo
,Availability,Availability,Beschikbaarheid,Disponibilité,Verfügbarkeit
,Average ELO,Average ELO,Gemiddelde ELO,Moyenne ELO,durchschnittlicher ELO
,Average ELO home,Average ELO home,Elo-gemiddelde thuis,Elo moyenne domicile,Durchschnittliches ELO Heim
,Average ELO visit,Average ELO away,Elo-gemiddelde uit,Elo moyenne extérieur,Durchschnittliches ELO Auswärts
,away,Away,Uit,Extérieur,Auswährt
,Back,Back,Terug,Retour,Zurück
,Bank account BIC,Bank account BIC,Bankrekening BIC,BIC du compte bancaire,Bankkonto-BIC
,Bank account IBAN,Bank account IBAN,Bankrekening IBAN,IBAN du compte bancaire,Bankkonto-IBAN
,Bank account name,Bank account name,Naam bankrekening,nom du compte bancaire,Bankkontoname
,Bank details,Bank details,Bankgegevens,coordonnées bancaires,Bank details
,bar_manager,bar manager,barmanager,gestionnaire du bar,Barleiter
,BC Adults,BC Adults,BK volwassenen,CB adultes,BLM Erwachsene
,BC Blitz,BC Blitz,BK Blitz,CB Blitz,BLM Blitz
,BC Rapid,BC Rapid,BK Rapid,CB Rapid,BLM Rapid
,BC School chess,BC School chess,BC Schoolschaak,CB inter-écoles,BLM Schulschah
,BC Youth,BC Youth,BK Jeugd,CB Jeunesse,BLM Jugend
,Board,Board,Bestuur,Organe d'administration,Verwaltungsrat
,Board members,Board members,Bestuursleden,Administrateurs,Vorstandsmitglieder
,Book 100 years,Book 100 years,Boek 100 jaar,Livre 100 ans,Buch 100 Jahre
,Calendar,Calender,Kalender,Calendrier,Kalender
,Cancel,Cancel,Annuleren,Annuler,Absagen
,Capacity (boards),Capacity (boards),Capaciteit (borden),Capacité (échiquiers),Kapazität (Schachbretter)
,Chess equiment,Chess equiment,Schaakmateriaal,Equipement d'échecs,Schachausrüstung
,Click on the value of assigned rating to change it,Click on the value of assigned rating to change it,Klik op de waarde van de toegewezen Elo om deze te wijzigen,Cliquez sur la valeur de l'ELO attribué pour la modifier,"Klicken Sie auf den Wert der zugewiesenen Elo, um ihn zu ändern"
,Closing time for modifying the playerlist,Closing time for modifying the playerlist,Sluitingstijd voor het wijzigen van de spelerslijst,Heure de fermeture pour modifier la liste de force,Schließungszeit für die Änderung der Spielerliste
,Club,Club,Club,Cercle,Verein
,Club administrators,Club administrators,Clubbeheerders,Administrateurs du cercle,Vereinsadministratoren
,Club details,Club details,Clubgegevens,Détails du club,Vereinsdaten
,Club number,Club number,Clubnummer,Numéro de club,Clubnummer
,Club saved,Club saved,Club bewaard,Cercle sauvé,Verein gespeichert
,Club venue,Club venue,Clublokaal,Lieu du club,Ort des Clubs
,Clubs,Clubs,Clubs,Cercles,Vereine
,Collaborator,Collaborator,Medewerker,Collaborateur,Mitarbeiter
,Committees,Committees,Commissies,Commissions,Ausschüsse
,Communication manager,Communication manager,Communicatiemanager,Responsable de la communication,Kommunikationsmanager
,Competitions,Competitions,Competities,Compétitions,Wettbewerbe
,Confirm,Confirm,Bevestigen,Confirmer,Bestätigen
,Confirmation,Confirmation,Bevestiging,Confirmation,Bestätigung
,Confirmed,Confirmed,Bevestigd,Confirmé,Bestätigt
,Connectiom issue: server unreachable,Connectiom issue: server unreachable,Verbindingsprobleem: server niet bereikbaar,Problème de connexion : serveur inaccessible,Verbindungsproblem: Server nicht erreichbar
,Consulting access rights,Consulting access rights,Toegangsrechten raadplegen,Consulter les droits d'accès,Zugriffsrechte abfragen
,Consulting club details,Consulting club details,Clubdetails raadplegen,Consulter les details du cercle,Vereinsdetails abfragen
,Contact,Contact,Contact,Contact,Kontakt
,Contact details,Contact details,Contactdetails,Détails de contact,Kontaktdetails
,Continue,Continue,Verder,Continuer,Weiter
,Cost,Cost,Kost,Coût,Kosten
,Dates,Dates,Data,Dates,Daten
,Define order,Define order,Bepaal volgorde,Définir l'ordre,Reihenfolge definieren
,Define players,Define players,Definieer spelers,Définir les joueurs,Spieler definieren
,Define teams,Define teams,Bepaal teams,Définir les équipes,Teams definieren
,Define the incoming and outgoing transfers.,Define the incoming and outgoing transfers.,Bepaal de inkomende en uitgaande transfers.,Définir les transferts entrants et sortants.,Definieren Sie die eingehenden und ausgehenden Transfers.
,Define the order of the players in the list.,Define the order of the players in the list.,Bepaal de volgorde van de spelers in de lijst.,Définir l'ordre des joueurs dans la liste.,Definieren Sie die Reihenfolge der Spieler in der Liste.
,Define the titulars per team,Define the titulars per team,BEpaal titularissen per ploeg,Définir les titulaires par équipe,Definieren Inhaber  für Teams
,Define transfers,Define transfers,Definieer transfers,Définir les transferts,Transfers definieren
,Define who are the players on the list.,Define who are the players on the list.,Bepaal wie de spelers op de lijst zijn.,Définir qui sont les joueurs sur la liste.,"Definieren Sie, wer die Spieler auf der Liste sind."
,Delivery,Delivery,Levering,Livraison,Lieferung
,Details,Details,Details,Détails,Details
,Distribution points,Distribution points,Verdeelpunten,Points de distribution,Verteilungspunkte
,Dutch,Dutch,Nederlands,Néerlandais,Niederländisch
,E-mail,E-mail,E-mail,E-mail,E-mail
,Edit,Edit,Wijzigen,Modifier,Bearbeiten
,ELO processing,ELO processing,ELO-verwerking,Traitement ELO,ELO Verarbeitung
,Elo too high,Elo too high,Elo te laag,Elo top haut,Elo zu hoch
,Elo too low,Elo too low,Elo te laag,Elo trop bas,Elo zu niedrig
,ELO tournaments,ELO tournaments,ELO toernooien,Tournois Elo,ELO Turniere
,Email,Email,E-mail,E-mail,E-Mail
,Email address,Email address,E-mailadres,Adresse e-mail,E-mailadresse
,Email address administration,Email address for administration,E-mailadres voor administratie,Adresse e-mail de l'administration,E-Mail-Adresse für die Verwaltung
,Email address finance,Email address for finance,E-mailadres voor financiën,Adresse e-mail pour les finances,E-Mail-Adresse für Finanzen
,Email address Interclub,Email address for Interclub,E-mailadres voor Interclub,Adresse e-mail pour les Interclubs,E-Mail-Adresse für Interclub
,Email address venue,Email address venue,E-mailadres speelzaal,Adresse e-mail de la salle de jeu,E-Mail-Adresse des Veranstaltungsortes
,Email addresses,Email addresses,E-mailadressen,Adresses e-mail,E-mailadressen
,Entry of the results starts on Sunday at 15h,Entry of the results starts on Sunday at 15h,Het ingeven van de resultaten start zondag om 15u,La saisie des résultats commence dimanche à 15h,Die Eingabe der Ergebnisse beginnt am Sonntag um 15 Uhr
,Export,Export,Exporteren,Exporter,Exportieren
,Export all players,Export all players,Exporteer alle spelers,Exporter tous les joueurs,Alle Spieler exportieren
,Exporting a player to another club,Exporting a player to another club,Een speler exporteren naar een andere club,Exporter un joueur vers un autre club,Einen Spieler zu einem anderen Verein exportieren
,Federation,Federation,Federatie,Fédération,Föderation
,First name,First name,Voornaam,Prénom,Vorname
,French,French,Frans,Français,Französisch
,Friday,Friday,Vrijdag,Vendredi,Freitag
,From club,From club,Van club,Du club,Vom Verein
,G License,G License,G Licentie,Licence G,G Lizenz
,GDPR,GDPR,GDPR,RGPD,GDPR
,German,German,Duits,Allemand,Deutsch
,Getting club details failed,Getting club details failed,Het ophalen van clubgegevens is mislukt,Échec de l'optention des détails du club,Abrufen der Clubdetails fehlgeschlagen
,Getting club members failed,Getting club members failed,Het ophalen van clubleden is mislukt,Échec de l'obtention des membres du club,Abrufen der Mitglieder fehlgeschlagen
,Getting clubs failed,Getting clubs failed,Het ophalen van clubs is mislukt,Échec de l'obtention des clubs,Abrufen der Vereine fehlgeschlagen
,Goal,Goal,Doel,But,Ziel
,Hidden,Hidden,Verborgen,Caché,Versteckt
,Home,Home,Home,Accueil,Startseite
,home,Home,Thuis,Domicile,Heim
,Honorary members,Honorary members,Ereleden,Membres d'honneur,Ehrenmitglieder
,Honorary president,Honorary president,Erevoorzitter,Président d'honneur,Ehrenpräsident
,ID number,ID number,Stamnummer,Matricule,ID-Nummer
,Identity,Identity,Identiteit,Identité,Identität
,Incoming transfers,Incoming transfers,Inkomende transfers,Transfrets entrants,Eingehende Trnasfers
,Informations utiles,Informations utiles,Nuttige informatie,Informations utiles,Nützliche Informationen
,Interclub Administrators,Interclub Administrators,Interclubbeheerders,Administrateurs interclubs,Interclub-Administratoren
,Interclub Captains,Interclub Captains,Interclubkapiteinen,Capitaines interclubs,Interclub-Kapitäne
,Interclub venue saved,Interclub venue saved,Speelzaal Interclubs opgeslagen,Salle de jeux des Interclubs sauvegardé,Interclubs-Veranstaltungsort gespeichert
,Interclub venues,Interclub venues,Speellokalen Interclub,Salles de jeux Interclubs,Interclub-Spielorte
,interclub_director,interclub director,Interclubverantwoordlijke,directeur d'interclubs,Interclubleiter
,Internal rules,Internal rules,Intern reglement,Règlement interne,interne Regulierung
,International,International,Internationaal,International,International
,International competitions,International competitions,Internationale competities,Compétitions internationales,Internationale Wettbewerbe
,Intro,Intro,Intro,Intro,Intro
,Intro Player List,Intro Player List,Intro Spelerslijst,Intro liste de force,Intro-Spielerliste
,Last name,Last name,Familienaam,Nom,Nachname
,Loading members ... Please wait,Loading members ... Please wait,Leden aan het laden ... Even geduld aub,Chargement des membres... Veuillez patienter,Mitglieder werden geladen ... Bitte warten
,Loading...,Loading...,Laden...,Chargement...,Wird geladen...
,Long name,Long name,Lange naam,Nom long,Langer Name
,Main email address,Main email address,Hoofd e-mailadres,Adresse e-mail principale,Haupt-E-Mail-Adresse
,Manager international selections,Manager international selections,Manager internationale selecties,Responsable sélections internationales,Manager internationale Auswahlen
,Mandated persons,Mandated persons,Gemandateerden,Personnes mandatées,Mandierte Personen
,material_manager,material manager,materiaalverantwoordelijke,gestionnaire de matérial,Materialmanager
,Members,Members,Leden,Membres,Mitglieder
,Mobile,Mobile,GSM,GSM,Handy
,Mobile phone,Mobile phone,GSM,GSM,Handy
,Modify,Modify,Wijzigen,Modifier,Ändern
,Modify access rights,Modify access rights,Toegangsrechten wijzigen,Modifier les droits d'accès,Zugriffsrechte ändern
,Modify club,Modify club,Club wijzigen,Modifier cercle,Verein ändern
,Modify playerlist again,Modify playerlist again,Spelerlijst opnieuw wijzigen,Modifier à nouveau la liste de force,Ändern Sie die Spielerliste erneut
,Modify venues,Modify venues,Lokalen wijzigen,Modifier salles de jeux,Orte ändern
,Monday,Monday,Maandag,Lundi,Montag
,More,More,Meer,Plus,Mehr
,Name,Name,Naam,Nom,Name
,No,No,Nee,Non,Nein
,No incoming transfers,No incoming transfers,No incoming transfers,Aucun transfert entrant,Keine eingehenden Überweisungen
,No outgoing transfers,No outgoing transfers,Geen uitgaande transfers,Pas de transferts sortants,Keine ausgehenden Transfers
,Not available,Not available,Niet beschikbaar,Indisponible,Nicht verfügbar
