section,key,en,nl,fr
fields,all_digital_clocks,All Digital Clocks,Allemaal digitale klokken,Toutes pendules électroniques
fields,internet_tx,Internet Transmission,Internettransmissie,Transmission Internet
fields,internet_tx_boards,Enter number of boards,Aantal borden invullen,Entrer le nombre d'échiquiers
fields,tiebreak_method,Tiebreak Method,Tiebreak-methode,Système de départage
fields,tiebreak_other,"If Tiebreak Method = 'Other', specify 'Other'","Indien Tiebreak-methode = 'Overige', specificeer 'Overige'","Si Système de départage = 'Autre', spécifiez 'Autre'"
fields,software,Software,Software,Logiciel
fields,software_other,"If Software = 'Other', specify 'Other'","Indien Software = 'Overige', specificeer 'Overige'","Si Logiciel = 'Autre', spécifiez 'Autre'"
fields,software_version,Version Software,Softwareversie,Version du logiciel
fields,pgn_provided,Will PGN be provided?,Wordt PGN geleverd?,Le PGN sera-t-il fourni ?
fields,contact_email,Contact E-mail (organizer or organization),Contact e-mail (organisator of organisatie),E-mail de contact (organisateur ou organisation)
fields,homepage,Internet Homepage,Website,Site internet
fields,prize_fund,Prize Fund,Prijzenpot,Prix
fields,remarks,Remarks,Opmerkingen,Remarques
fields,communication_language,Language for communication,Taal voor communicatie,Langue de communication
fields,round_date,Round {num} date,Datum van ronde {num},Date de la ronde {num}
fields,round_report,In which report will Round {num} be?,In welk rapport komt ronde {num}?,Dans quel rapport sera la ronde {num} ?
messages,template_not_found,Excel template not found at {path}. Put your workbook there as template_fide_form.xlsx.,Excel-sjabloon niet gevonden op {path}. Plaats uw werkmap daar als template_fide_form.xlsx.,Modèle Excel introuvable à {path}. Placez votre classeur à cet endroit sous le nom de template_fide_form.xlsx.
messages,no_license_confirm,has NO LICENSE. Are you sure you want to use this arbiter?,heeft GEEN LICENTIE. Weet u zeker dat u deze arbiter wilt gebruiken?,n'a PAS DE LICENCE. Êtes-vous sûr de vouloir utiliser cet arbitre ?
messages,fide_laws_error,"You want to register a FIDE tournament, but not follow the rules? Nuh uh, we don't do that here. Also: you must accept the FIDE Laws.","U wilt een FIDE-toernooi registreren, maar de FIDE-regels niet volgen? Nuh uh, dat doen we hier niet. Ook: u moet de FIDE-regels accepteren.","Vous voulez enregistrer un tournoi FIDE, mais pas suivre les règles ? Nuh uh, on ne fait pas ça ici. De plus : vous devez accepter les règles de la FIDE."
messages,only_letters_numbers_spaces,"may only contain letters A-Z, numbers, and spaces (no accents or special characters).","mag alleen letters A-Z, cijfers en spaties bevatten (geen accenten of speciale tekens).","ne peut contenir que des lettres A-Z, des chiffres et des espaces (pas d'accents ni de caractères spéciaux)."
messages,value_required_for,is required when {dependency} is '{value}'.,is verplicht wanneer {dependency} '{value}' is.,est obligatoire lorsque {dependency} est '{value}'.
messages,value_required,is required.,is verplicht.,est obligatoire.
messages,field_must_be_integer,must be an integer.,moet een geheel getal zijn.,doit être un nombre entier.
messages,field_must_be_number,must be a number.,moet een getal zijn.,doit être un nombre.
messages,field_must_be_at_least,must be at least {min}.,moet minimaal {min} zijn.,doit être au moins {min}.
messages,field_must_be_at_most,must be at most {max}.,mag maximaal {max} zijn.,doit être au plus {max}.
messages,round_date_required,Round {num} date is required for New long tournament.,Datum van ronde {num} is verplicht voor nieuw lang toernooi.,La date de la ronde {num} est obligatoire pour un nouveau tournoi long.
messages,round_report_required,The report number for Round {num} is required for New long tournament.,Het rapportnummer voor Ronde {num} is verplicht voor nieuw lang toernooi.,Le numéro de rapport pour la ronde {num} est obligatoire pour un nouveau tournoi long.
messages,round_dates_order_error,Round {num} date must not be earlier than Round {prev_num} date.,Datum van ronde {num} mag niet vroeger zijn dan datum van ronde {prev_num}.,La date de la ronde {num} ne doit pas être antérieure à la date de la ronde {prev_num}.
messages,conf_subject,FIDE Registration Confirmation: {event_name},FIDE-registratiebevestiging: {event_name},Confirmation d'inscription FIDE : {event_name}
messages,conf_body,"<p>Dear Organizer / Arbiter,</p><p>Thank you for submitting the FIDE registration form for the tournament: <strong>{event_name}</strong>.</p><p>Your request has been received and sent to the FIDE rating officer.</p><p>Best regards,</p><p>Jorian Burssens</p>","<p>Beste organisator / scheidsrechter,</p><p>Bedankt voor het indienen van het FIDE-registratieformulier voor het toernooi: <strong>{event_name}</strong>.</p><p>Uw aanvraag is ontvangen en verzonden naar de FIDE rating officer.</p><p>Met vriendelijke groet,</p><p>Jorian Burssens</p>","<p>Cher organisateur / arbitre,</p><p>Merci d'avoir soumis le formulaire d'inscription FIDE pour le tournoi : <strong>{event_name}</strong>.</p><p>Votre demande a été reçue et envoyée au responsable des classements FIDE.</p><p>Cordialement,</p><p>Jorian Burssens</p>"
messages,fide_under_60_confirm,"This standard time control is less than 60 minutes, which is not rateable under FIDE rules.

We will submit this to the federation, but it will NOT be approved. Do you want to proceed?","Deze standaard bedenktijd is korter dan 60 minuten, wat niet te homologeren is volgens de FIDE-regels.

We sturen dit door naar de bond, maar het zal NIET worden goedgekeurd. Wilt u toch doorgaan?","Cette cadence standard est inférieure à 60 minutes, ce qui n'est pas homologable selon les règles FIDE.

Nous allons soumettre ceci à la fédération, mais cela ne sera PAS approuvé. Voulez-vous continuer ?"
messages,fide_under_90_confirm,"This standard time control under 90 minutes is only rateable if all players are rated below 1800. Your Max Rating is either empty or >= 1800.

We will submit this to the federation, but it will NOT be approved. Do you want to proceed?","De combinatie van een standaard bedenktijd korter dan 90 minuten en een maximale rating die leeg of >= 1800 is, is incorrect volgens de FIDE-regels.

We sturen dit door naar de bond, maar het zal NIET worden goedgekeurd. Wilt u toch doorgaan?","La combinaison d'une cadence standard inférieure à 90 minutes et d'un classement maximum vide ou >= 1800 est incorrecte selon les règles FIDE.

Nous allons soumettre ceci à la fédération, mais cela ne sera PAS approuvé. Voulez-vous continuer ?"
messages,fide_under_120_confirm,"This standard time control under 120 minutes is only rateable if all players are rated below 2400. Your Max Rating is either empty or >= 2400.

We will submit this to the federation, but it will NOT be approved. Do you want to proceed?","De combinatie van een standaard bedenktijd korter dan 120 minuten en een maximale rating die leeg of >= 2400 is, is incorrect volgens de FIDE-regels.

We sturen dit door naar de bond, maar het zal NIET worden goedgekeurd. Wilt u toch doorgaan?","La combinaison d'une cadence standard inférieure à 120 minutes et d'un classement maximum vide ou >= 2400 est incorrecte selon les règles FIDE.

Nous allons soumettre ceci à la fédération, mais cela ne sera PAS approuvé. Voulez-vous continuer ?"
messages,fide_under_60_email,"WARNING: This tournament uses a standard time control under 60 minutes. This is not rateable under FIDE regulations, and this registration is NOT approved.","WAARSCHUWING: Dit toernooi gebruikt een standaard bedenktijd korter dan 60 minuten. Dit is niet te homologeren volgens de FIDE-regels, en deze registratie is NIET goedgekeurd.","ATTENTION : Ce tournoi utilise une cadence standard inférieure à 60 minutes. Ce n'est pas homologable selon les règles FIDE, et cette inscription n'est PAS approuvée."
messages,fide_under_90_email,"WARNING: This tournament uses a standard time control under 90 minutes but the Max Rating is either not set or is >= 1800. This is incorrect under FIDE regulations, and this registration is NOT approved.","WAARSCHUWING: Dit toernooi gebruikt een standaard bedenktijd korter dan 90 minuten, maar de maximale rating is niet ingevuld of is >= 1800. Deze combinatie is incorrect volgens de FIDE-regels, en deze registratie is NIET goedgekeurd.","ATTENTION : Ce tournoi utilise une cadence standard inférieure à 90 minutes mais le classement maximum n'est pas renseigné ou est >= 1800. Cette combinaison est incorrecte selon les règles FIDE, et cette inscription n'est PAS approuvée."
messages,fide_under_120_email,"WARNING: This tournament uses a standard time control under 120 minutes but the Max Rating is either not set or is >= 2400. This is incorrect under FIDE regulations, and this registration is NOT approved.","WAARSCHUWING: Dit toernooi gebruikt een standaard bedenktijd korter dan 120 minuten, maar de maximale rating is niet ingevuld of is >= 2400. Deze combinatie is incorrect volgens de FIDE-regels, en deze registratie is NIET goedgekeurd.","ATTENTION : Ce tournoi utilise une cadence standard inférieure à 120 minutes mais le classement maximum n'est pas renseigné ou est >= 2400. Cette combinaison est incorrecte selon les règles FIDE, et cette inscription n'est PAS approuvée."
options.yes_no,Yes,Yes,Ja,Oui
options.yes_no,No,No,Nee,Non
options.age_limit,None,None,Geen,Aucune
options.age_limit,Under,Under,Onder,Moins de
options.age_limit,Over,Over,Boven,Plus de
options.inc_delay,Increment,Increment,Increment,Incrément
options.inc_delay,Delay,Delay,Delay,Délai
